,org,repo,ref,pageviews,unique_pageviews
3661,zed,jupyter-notebooks,master,7,5
3662,ZoeLeBlanc,Networks_and_Digital_History,master,7,7
3666,ist,willurd,5720255,7,7
3671,4Quant,pyqae,master,6,6
3672,4QuantOSS,FastPhotoStyle,master,6,6
3673,4QuantOSS,mayavi_notebooks,master,6,6
3674,aadm,avo_explorer,master,6,6
3675,adamscholefield,MFSP_notebooks,master,6,6
3676,adityashrm21,repo_using_mybinder,master,6,6
3677,adriaanvuik,solid_state_physics,master,6,5
3678,adrianGustafson,Analysis_of_the_CENTURY,master,6,5
3679,adrienarcuri,jupiternotebook,master,6,4
3680,afochi,ifes-cpp,master,6,6
3681,aforechi,ifes-alg-2018-02,master,6,6
3682,aforechi,ifes-alg-2018,master,6,6
3683,aforechi,ifes-cpp,master,6,6
3684,agladstein,Moal,master,6,6
3685,aimeeli66,waterbear_ntbk.git,master,6,6
3686,airlinecos,scipy_np_norm_multiv_fft,master,6,6
3687,alexgoodell,uganda-model,master,6,4
3688,alexisfcote,DBDA-python,master,6,6
3689,alhaol,Network-Analysis-Made-Simple.git,master,6,6
3690,amabdallah,notebooks,master,6,6
3691,amatma,jupyterSigplot,master,6,6
3692,amisampaio,FIAP_PYTHON,master,6,6
3693,amorim-cleison,cin_am,develop,6,6
3694,anasilviago,uvg-variables-y-expresiones,master,6,6
3695,angelachieh,JustML-notebooks,master,6,4
3696,anofox,m3_konferenz,master,6,6
3697,anofox,m3_konferenz,master,6,6
3698,anofox,m3_konferenz,master,6,6
3699,anofox,m3_konferenz,master,6,6
3700,anofox,m3_konferenz,master,6,6
3701,anp,lolbench-analysis,master,6,6
3702,apdiazv,Docs-CXVA.git,master,6,6
3704,archiero,Whygenvalues-and-Whygenvectors,master,6,4
3705,astropy,astropy-tutorials,master,6,6
3706,astropy,astropy-tutorials,master,6,6
3707,atrigo,trigo-data-science.git,master,6,6
3708,atspatel,NanoNets_blog,master,6,6
3709,b1ackmartian,deep-learning-with-python-notebooks.git,binder,6,6
3710,bbfamily,abu,master,6,6
3711,bdestombe,python-dts-calibration,master,6,6
3712,bendichter,to_nwb,master,6,6
3713,benjello,ppd-micro-simulations-and-public-policies,master,6,6
3714,BenJHelmcke,random,master,6,6
3715,benmarwick,Persistence-of-Public-Interest-in-Gun-Control,master,6,1
3716,bertrandsylv,notebooks.git,master,6,6
3717,binder-project,example-conda-environment,master,6,6
3718,Birinder1469,Binder,master,6,6
3719,birnstiel,twopoppy-demo,master,6,5
3720,bitranox,wrapt-timeout-decorator,master,6,6
3721,bjmorgan,python_in_chemistry,master,6,6
3722,bjmorgan,python_in_chemistry,master,6,6
3723,bloomberg,bqplot,0.10.4-binder,6,6
3724,bookRa,Data_Science_Notebooks,master,6,6
3725,brendinho,ABM_ER_model,master,6,6
3726,brian-team,brian2-binder,master,6,6
3727,brian-team,brian2-binder,master,6,6
3728,brian-team,brian2-binder,master,6,6
3729,brunobcardoso,vanhack-jobboard-analytics,master,6,6
3730,BuzzFeedNews,2015-11-refugees-in-the-united-states,master,6,6
3731,BVLC,caffe,master,6,6
3732,bwilk7,CMSC433,Spring2018,6,6
3733,bwilk7,CMSC433,Spring2018,6,6
3734,bwilk7,CMSC433,Spring2018,6,6
3735,caltechlibrary,doi-demo-notebook,master,6,6
3736,Calysto,calysto_scheme,master,6,6
3737,carlos-puerto-garcia,Mito_del_centavo,master,6,6
3738,catch22,tensorscaling,master,6,6
3739,cboettig,noise-phenomena,binder,6,6
3740,CellMigStandOrg,CMSO-training,master,6,5
3741,cgre-aachen,teaching,master,6,6
3742,chambbj,foss4gna-2018-binder,master,6,6
3743,chestrays,jupyanno,interaction-dashboard,6,6
3744,ChinaHuayu,jupyter,master,6,6
3745,choldgraf,nbclean,master,6,6
3746,choldgraf,textbooks-with-jupyter,master,6,6
3747,chrisgarcia001,Notebooks,master,6,6
3748,chritophernhill,julia-intro,master,6,6
3749,CINERGI,jupyter-cinergi.git,master,6,6
3750,CleggTom,Bacteria_EcoFunc,master,6,6
3751,cms-opendata-education,cms-online-notebooks-for-binder,master,6,6
3752,cooperrc,nonlinear_regression.git,master,6,6
3753,cranmer,setup.py,master,6,6
3754,CropEvol,binder-py3-for-lecture,master,6,6
3755,csadorf,pydata-ann-arbor-2018,master,6,6
3756,csc448spring18,lab-4-team-4,master,6,6
3757,csmcallister,learning-data-science,master,6,6
3758,csmithchicago,sim-simulation,master,6,6
3759,csymeonides-mf,mf-optaas-tutorials,master,6,6
3760,CWTSLeiden,CSSS,master,6,6
3762,damianavila,RISE,master,6,6
3763,dandip,EffortlessAI,master,6,6
3764,DanhTaiHoang,Python_Tutorial,master,6,6
3765,DanOlds,diffpy_examples,master,6,6
3766,data-8,summer,july18_workshop,6,6
3767,deathbeds,importnb,master,6,6
3768,deeplook,notebooks,master,6,6
3769,DevScope,ai-lab,master,6,6
3770,DevScope,ai-lab,master,6,6
3771,dexgen,backdrop,master,6,6
3772,djsegal,webio-binder,master,6,3
3773,djson8,ox-p4ds,master,6,2
3774,dlab-berkeley,MachineLearningWG,master,6,6
3775,dlleigh,breadsheet,master,6,6
3776,dnys1,swp,master,6,6
3777,donavdey,kaggle-house-prices,master,6,6
3778,donnemartin,interactive-coding-challenges,master,6,6
3779,douguang,Python_demo,master,6,6
3780,drvinceknight,gt,master,6,6
3781,ds-modules,LEGALST-190,master,6,6
3782,duchessanne,fsci2018,master,6,6
3783,duembgen,zurich-bikes,master,6,6
3784,DunklesArchipel,Butler_Volmer_Test,master,6,6
3785,ecervera,ga-nb,master,6,4
3786,econ-ark,DemARK,stable,6,6
3787,EconCopenhagen,NumEconNotebooks,master,6,6
3788,elimpro,Mobile-Networks,master,6,4
3789,EmanuelFontelles,algorithmDataStructure.git,master,6,6
3790,engineersCode,EngComp3_flyatchange,master,6,6
3791,ericECmorlaix,mesBN,master,6,6
3792,ericECmorlaix,mesBN,master,6,6
3793,ericrosenbrown,Python_Tutorial,master,6,4
3794,fangohr,introduction-to-python-for-computational-science-and-engineering,master,6,6
3795,fastai,numerical-linear-algebra,master,6,6
3796,fchatelain,Examples_R_1A.git,master,6,6
3797,felipekoblinger,tbi004-data-science-brazil-oil-gas-exploration,master,6,6
3798,feststelltaste,software-analytics,master,6,6
3799,fnava,agn-feedback,master,6,5
3800,fomightez,uscad16,master,6,6
3801,fonnesbeck,Bios8366,master,6,6
3802,froilanmanikan,NOT_ig_ES,master,6,3
3803,GabrielPereyra,chess-notebook,master,6,3
3804,ammapy,gammapy-extra,master,6,6
3805,avlasj,iv122.git,master,6,6
3806,bonomib,mlTeachings,master,6,6
3807,bonomib,mlTeachings,master,6,6
3808,bonomib,mlTeachings,master,6,2
3809,eoffrey4444,NRDataExample,master,6,6
3810,eoscixyz,em_apps,master,6,6
3811,eoscixyz,gpgLabs,master,6,6
3812,aforechi,ifes-alg-2018-2,master,6,6
3813,alib-bello,tensorflow,master,6,6
3814,ingerhot,workshops,master,6,5
3815,lue-viz,glue-example-data,jupyter,6,6
3816,lue-viz,glue-example-data,jupyter,6,6
3817,nuwind,MLB,master,6,4
3818,Gonaz,jupyter-r,master,6,6
3819,opherds,mybinder-go,master,6,6
3820,ouarin,DDM_elasticity,master,6,6
3821,uidoAl,stereo_notebook,master,6,6
3822,HarjyotKaur,DSCI_521_Lab_2_Q6,master,6,6
3823,HelioML,HelioML,master,6,6
3824,ivert,Jupyter-Notebooks,master,6,4
3825,ottbox,hottbox-tutorials,master,6,6
3826,se,PyHexamollDINCH,master,6,6
3827,ugadams,scikit-spectra,master,6,6
3828,umanhow,learningPySpark,master,6,6
3829,Hydrocarpentry,reproduced_data.git,master,6,6
3830,ydrosquall,pandas-cookbook,feature-deploy-to-binder,6,6
3831,IFAE,grh_website,master,6,6
3832,IFAE,grh_website,master,6,6
3833,inducer,splash-activities,master,6,6
3834,InsightSoftwareConsortium,itk-jupyter-widgets,master,6,6
3835,intermine,bosc-2018,master,6,6
3836,intp8,ipynb,master,6,6
3837,iphyton,iphyton-in-depth,master,6,6
3838,ipython,ipython-in-depth, master,6,6
3839,ipython,ipython-in-depth,master,6,6
3840,ipython,ipython-in-depth,master,6,6
3841,ipython,ipython-in-depth,master,6,6
3842,ipython,ipython,6.x,6,6
3843,ismms-himc,clustergrammer_widget2,master,6,6
3844,JaGeo,TestBinder,master,6,6
3845,jaimevalero,python-machine-learning-book-2nd-edition,light,6,6
3846,jamesmyatt,2018-05-jupyter-demo,master,6,6
3847,javenleeCH,gh.git,master,6,6
3848,javenleeCH,jupyterlab-demo.git,master,6,5
3849,jeanlexdesousa,cd0277_metodos_numericos,master,6,6
3850,jeanlexdesousa,cd0277_metodos_numericos,master,6,6
3851,JeppeDruedahl,vfi,master,6,6
3852,jeremiedecock,simulateur_pajemploi,master,6,6
3853,jmunroe,IceDEF,master,6,6
3854,joannakl,core109_f18.git,gh-pages,6,6
3855,JohnnyonFlame,RSA-Jupyter.git,master,6,6
3856,johnyquest7,machine-learning-tutorial,master,6,6
3857,JoshWilkins2013,JupyterNotebooks,master,6,5
3858,jpauwels,midi-notebook,master,6,6
3859,jrjohansson,scientific-python-lectures,master,6,6
3860,jrjohansson,scientific-python-lectures,master,6,6
3861,jrzech,reproduce-chexnet,master,6,6
3862,juanklopper,MIT_OCW_Linear_Algebra_18_06.git,master,6,6
3863,jupyterlab,jupyterlab,master,6,6
3864,justmarkham,python-reference,master,6,6
3865,jxnbennett,Deep-Learning-Coursera,master,6,6
3866,katilp,W-and-Z,master,6,6
3867,kellieotto,test-book,gh-pages,6,2
3868,kenjisato,macroeconomics,master,6,6
3869,khinsen,WebNmoldyn,f-co,6,6
3870,kmader,conduit_analysis,master,6,6
3871,kmader,radiology_binder,master,6,6
3872,kurocchi,pds_ca02,master,6,6
3873,kwb-r,kwb.wtaq,binder,6,6
3874,lalajz,qgrid,master,6,6
3875,lbase,notebooks,script,6,5
3876,learnitall,onbind,master,6,5
3877,letsop,test_note,master,6,5
3878,LeviAndroid18,Learning-python-from-Trash,master,6,5
3879,LGSInnovations,JupyterSigplot,master,6,6
3880,LibreCat,catmandu-notebook,master,6,6
3881,loftyhauser,Binder_Test,master,6,6
3882,LoLab-VU,JARM,master,6,6
3883,losc-tutorial,LOSC_Event_tutorial,master,6,6
3884,louisfu,ions_analysis,master,6,6
3885,mageMerlin8,EDA_Tarea_1.git,master,6,6
3886,MaksimXX,Ali.git,master,6,6
3887,mangstad,fdr_permutations,master,6,6
3888,MarianaJBr,Fisica-I-Praxis,master,6,6
3889,marscher,R-Intro.git,master,6,6
3890,marskar,biof309_spring2018,master,6,4
3891,marwahaha,count-spots,binder,6,6
3892,marwahaha,count-spots,master,6,6
3893,materialsinnovation,mks-tutorial,master,6,5
3894,mathewzilla,redcard,master,6,6
3895,mclf,MCLF,master,6,6
3896,mcmartins,francy,develop,6,6
3897,MDAnalysis,binder-notebook,master,6,6
3898,mdeff,ntds_2016,with_outputs,6,6
3899,mdeff,ntds_2017,outputs,6,6
3900,mgaitan,curso-python-cientifico,master,6,4
3901,MIDS-INFO-W18,Drills,master,6,6
3902,MikeyMoonBeam,test,master,6,6
3903,miklbjorn,det-store-kode-kursus,master,6,6
3904,MindFoundry,optaas-tutorials,1.2.9,6,6
3905,minrk,junk,binder-test,6,3
3906,mmcky,nyu-econ-370,master,6,6
3907,mmmlc,mlTeachings,master,6,6
3908,mmorini,langevosfi,python,6,5
3909,mojones,binders,master,6,6
3910,mojtabah,ChemML,master,6,4
3911,mondeja,mesas,master,6,5
3912,mondeja,pymarketcap,master,6,6
3913,moorepants,resonance-first-day,master,6,6
3914,mrcartoonster,mybinders,master,6,6
3915,mrcartoonster,testbinder,master,6,6
3916,mrcinv,moodle-questions,master,6,6
3917,mrsereiko,coding_workshop.git,master,6,6
3918,MTDzi,graph-node-analysis,master,6,6
3919,mvinoba,notebooks-for-binder,master,6,6
3920,mwarscher,r-intro.git,master,6,6
3921,mwarscher,R-VU,master,6,3
3922,mwarscher,R-VU,master,6,4
3923,mwouts,matplotlib,master,6,6
3924,mwouts,notebooks,master,6,6
3925,nataly-nicole,electromagnetismo,master,6,6
3926,naturesmathemathiques,seconde,master,6,6
3927,naturesmathematiques,seconde,master,6,6
3928,nehiljain,uw_ml.git,master,6,6
3929,neltnerb,Solvent_Chart,master,6,6
3930,neuroquant,jf2016-skggm,master,6,6
3931,newlawrence,Talks,master,6,6
3932,nico-gj,2017_un_speeches,master,6,6
3933,nicoguaro,notebooks_examples,master,6,5
3934,nicolasbojacarojas,ExamenFinal_Metodos,master,6,6
3935,NicWayand,ESIO,297f9cb58b017bcb0c69904fa7d62456aeead394,6,6
3936,nkjadhav,Practise-Python.git,master,6,6
3937,nkster,notebooks,master,6,6
3938,nomcomm,riskcues,master,6,6
3939,nteract,examples,master,6,6
3940,ntoll,pride_and_prejudice_and_python,master,6,6
3941,o-date,creativity2,master,6,6
3942,ocefpaf,2018-SciPy-talk,gh-pages,6,6
3943,omgardner,mq-due-dates,master,6,2
3944,onishtar,datascience.git,master,6,6
3945,openclimatedata,notebooks,master,6,6
3946,opengridcc,opengrid-demo,master,6,2
3947,OpenSMFS,FRETBursts_notebooks,master,6,6
3948,oreillymedia,binder-trees-forest,master,6,6
3949,PandorAstrum,Kutumbita,master,6,6
3950,parmentelat,RISE,doc,6,6
3951,paugalles,chinese_chars.git,master,6,5
3952,paulromer149,Qn_temp,master,6,6
3953,pbstark,CORLA18,master,6,6
3954,PetrolBot,mini-course,master,6,6
3955,PGE383-HPC,live_lectures,master,6,6
3956,pjohno,ICMS-2018,master,6,6
3957,poliastro,poliastro,master,6,6
3958,productml,blurr,tutorial-executable,6,1
3959,puruckertom,ignatius_reservoirs,master,6,6
3960,pydgrid,pydgrid,master,6,6
3961,q735613050,AI,openin,6,6
3962,q735613050,XinetStudio,Openin,6,5
3963,QuantStack,xeus-cling,0.2.4,6,6
3964,QuantStack,xeus-cling,8e941852143e59d4d2400a4da9673b092cddf10e,6,6
3965,QuantStack,xtensor,0.15.5,6,4
3966,QuantStack,xtensor,0.15.8-binder,6,6
3967,quiltdata,data2binder,master,6,5
3968,rachelkriggs,mybinder,master,6,6
3969,raybellwaves,rot-eof-dev,master,6,6
3970,rdmueller,jupyter.git,master,6,6
3971,rdmueller,jupyter,master,6,6
3972,remerjohnson,text-mining-workshop,master,6,6
3973,reproducible-notebooks,Tides_TriMesh_Datashader,master,6,6
3974,rhiever,Data-Analysis-and-Machine-Learning-Projects,master,6,6
3975,rogerlord,python-aims2018,master,6,6
3976,rosatamsen,gzdev,master,6,6
3977,RXV06021,testPy2,master,6,6
3978,saint-germain,Python3Espanol,master,6,6
3979,SamuelWiqvist,ApproximateBayesianComputation.jl,master,6,6
3980,sasa-buklijas,coin_toss,master,6,6
3981,sbl-sdsc,mmtf-proteomics,master,6,6
3982,schlegelp,pyMaid,master,6,6
3983,scidash,sciunit,master,6,6
3984,seg,tutorials-2018,master,6,6
3985,serithemage,2018_csat_mathematics_type_ga,master,6,6
3986,sgkang,simpegEMIP,master,6,6
3987,sharath,svd-compress,master,6,6
3988,silverpond,dl-workshop-pre-req,master,6,6
3989,silverpond,dl-workshop-pre-req,master,6,6
3990,simexp,zooniverse_qc,issue,6,6
3991,simonsterj,sssssssss,master,6,6
3992,simpeg-research,miller2018_Tongariro_SP_inversion,master,6,6
3993,SMAPPNYU,urlExpander,master,6,6
3994,soheilash,empy,master,6,6
3995,sophiedeb,neural_induction,master,6,3
3996,spatialaudio,communication-acoustics-exercises,master,6,6
3997,spatialaudio,nbsphinx,0.3.3,6,6
3998,spatialaudio,nbsphinx,0.3.3,6,6
3999,sphinx-gallery,sphinx-gallery.github.io,master,6,6
4000,sphinx-gallery,sphinx-gallery.github.io,master,6,6
4001,sprocketsullivan,teaching_notebooks.git,master,6,6
4002,srcole,pacpybinder,master,6,6
4003,staeiou,wikibot_workshop,master,6,6
4004,sul-cidr,dh2018-word-vector-workshops,master,6,6
4006,talbertc-usgs,KDEExplorerApp,master,6,6
4007,tgenewein,StopUsingRainbowColormaps,master,6,4
4008,theJasonFan,HANDL,binder,6,6
4009,ThomasTram,iCLASS,master,6,6
4010,tiagoantao,biopython-notebook,master,6,6
4011,tlinnet,mybinder_relax,master,6,6
4012,tmagne,DemARK,master,6,6
4013,TMEnglish,BS,master,6,6
4014,TomFahey,Hall-Effect-Lab-Data,master,6,6
4015,tomjwalker,kaggle-data-bowl-2018,master,6,3
4016,tomkooij,binder_env,master,6,6
4017,Tsintsuntsini,PHYS_581,master,6,6
4018,twosigma,beakerx,master,6,6
4019,VandyAstroML,Vanderbilt_Computational_Bootcamp,master,6,6
4020,Vidhin05,CNM,master,6,6
4021,ineetbansal,Python-Bootcamp,master,6,6
4022,iperit,wwwSubmit,master,6,1
4023,irotech,ny_taxi_demo,master,6,6
4024,itorhenriquec,imd0033-prob,master,6,4
4025,Vivivale6,SimulacroExamen,master,6,6
4026,VladyslavKha,AudioProcessing,master,6,5
4027,WamdamProject,JupyteNotebooks,master,6,6
4028,WamdamProject,JupyteNotebooks,master,6,6
4029,whymarrh,nblc-2017-2018-player-stats,master,6,6
4030,wildtreetech,explore-open-data,master,6,6
4031,yoavram,Py4Eng,master,6,5
4032,z-efsa,jupyterlab-demo,master,6,6
4033,zakandrewking,y-ome,master,6,6
4034,zivy,SimpleITK-Notebooks.git,addingBinderSupport,6,6
4035,zkomassa,information_design1,master,6,6
4045,1oly,BeamformingDemos,master,5,5
4046,aculich,htrc,master,5,5
4047,aforech,ifes-num-2018-2,master,5,5
4048,aforechi,ifes_num_2018_2,master,5,5
4049,agniady,Python-au-lycee,master,5,5
4050,agogodavid,pylabs_github,master,5,5
4051,agogodavid,pylabs_github,master,5,5
4052,agriff86,karstolution,master,5,5
4053,AgrinessEdgeIoT,dashboard-prototype,master,5,5
4054,ahmedhagii,visual-analytics-project.git,master,5,5
4055,ahmetanildindar,AAD-TBDY2018-Spektrum,master,5,2
4056,ahwillia,binder-Rkernel,master,5,5
4057,AileenNielsen,TimeSeriesAnalysisWithPython,master,5,5
4058,aittalam,Lorenzo,master,5,4
4059,akaihola,jupyter_abc,binder,5,5
4060,Akomandur,Random,master,5,5
4061,ala-laurila-lab,information-theory,master,5,3
4062,alfaromurillo,parameter_estimation,master,5,5
4063,alissond,statistics,master,5,5
4064,alixdamman,larray,binder_postbuild_603,5,3
4066,amabdallah,TWDB_script,master,5,5
4067,AngelMartinezC,Local-Helioseismology,master,5,5
4068,anidata,tutorials,master,5,5
4069,Aram1skun,5credits,master,5,5
4070,arash-ash,PRF-Estimation-Technique,master,5,4
4071,ariannedee,python_tutorial,master,5,5
4072,arm61,talks,master,5,5
4073,ASamarkRoth,ChainCongruency,master,5,5
4074,astrofrog,py4sci,master,5,5
4075,astropy,astropy-tutorials,,5,5
4076,Atashnezhad,data-science-notebook,master,5,5
4077,ayaUmazura,notebook,master,5,5
4078,Aylr,ipysankeywidget,master,5,5
4079,aymericdamien,TensorFlow-Examples,master,5,2
4080,bayespy,bayespy-notebooks,master,5,1
4081,bduggan,perl-6-notebook,fix_issue_40,5,1
4082,benjello,ppd-micro-simulations-and-public-policies,master,5,1
4083,benjum,interpicary,master,5,5
4084,benthomasson,ansible-jupyter-kernel,binder,5,4
4085,bentut,bdac1-graduation,master,5,5
4086,benureau,leabra,master,5,5
4087,betatim,zurich-bikes,master,5,5
4088,BigDataGal,Data-Mania-Demos,master,5,5
4089,binder-project,example-dockerfile,master,5,5
4090,biocore,calour,master,5,5
4091,biomics-pasteur-fr,priceless,master,5,5
4092,Birinder1469,Binder,master,5,5
4093,bjmorgan,python_in_chemistry,mast er,5,5
4094,bkimo,discrete-math-with-python.git,master,5,5
4095,boazkat,TestBinder,master,5,5
4096,brian-team,brian2-binder,master,5,5
4097,brian-team,brian2-binder,master,5,5
4098,brian-team,brian2-binder,master,5,5
4099,brian-team,brian2-binder,master,5,5
4100,brian-team,brian2-binder,master,5,5
4101,brittaneyross,abm_brown_bag,master,5,5
4102,brittaneyross,bokeh_abm,master,5,5
4103,brudder003,AlgorithmDesign,master,5,5
4104,bryanfry,widget-q,master,5,5
4105,BTamby,FormationMathPython.git,master,5,5
4106,BTamby,ISN2018-2019.git,master,5,5
4107,bultako,gammapy-extra,fixbinder,5,5
4108,CalebeCavalcante,R_Binder,master,5,5
4109,callysto,callysto-sample-notebooks.git,de,5,5
4110,caltechlibrary,ocr-plotting,master,5,5
4111,Calysto,conx,master,5,3
4112,capstone-coal,pycoal,master,5,4
4113,casadi,live-python,master,5,5
4114,caseygrun,kazlab-python-workshop,master,5,5
4115,caseyjlaw,reproducing-fast-imaging-rrats,master,5,5
4116,CattoAJ,MC102OP-2018s1,master,5,5
4117,cbenz,openfisca-interactive,master,5,3
4118,cbonnett,tensorflow_introduction,master,5,5
4119,cdgreenidge,leabra7,fix-docs,5,5
4120,cds-astro,ipyaladin,master,5,5
4121,cds-astro,mocpy,MOCSkyRegion,5,5
4122,cgre-aachen,gempy,master,5,5
4123,charkow,flow_regimes_demo,master,5,5
4124,charlesfrye,LinearGenerativeModels-Tutorial,master,5,5
4125,chestrays,cornerstone_widget,jupyterlab-support,5,5
4126,chestrays,jupyanno,data-branch,5,5
4127,chestrays,jupyanno,master,5,5
4128,chestrays,jupyanno,master,5,5
4129,chewxy,economy-sim,master,5,5
4130,chionatan,TensorFlow-tuts,master,5,5
4131,choldgraf,textbook,gh-pages,5,5
4132,choldgraf,textbooks-with-jupyter,master,5,5
4133,CINERGI,jupyter-cinergi,master,5,5
4134,clement-plancq,datapol-ideo,master,5,3
4135,CMEGroup,datamine-telluslabs,master,5,5
4136,cms-opendata-education,HST-2018,master,5,5
4137,cms-opendata-education,scool-lab-sc18-opendata,master,5,5
4138,compassinformatics,notebooks,master,5,5
4139,cosmoscalibur,aula-notebook.git,master,5,5
4140,costrouc,lammps-cython-notebooks,master,5,5
4141,crazzle,pydata_berlin_2018,master,5,5
4142,crdguez,mis_notebooks,master,5,5
4143,criscod,my-first-binder,master,5,5
4144,CropEvol,remote_r,master,5,5
4145,csahlholdt,testing_ast_radii_notebook,master,5,5
4146,Dallinger,ngs2-cycle1,master,5,5
4147,dasgk,python_collect.git,master,5,5
4148,data-8,materials-fa18,master,5,5
4149,databooks,databook,master,5,5
4150,DavidTingley,test,master,5,5
4151,dbernhard,ProgHumaNumTAL,master,5,5
4152,deathbeds,rites,develop,5,5
4153,decodoku,A_Game_to_Benchmark_Quantum_Computers,master,5,5
4154,deeplook,asciinemaster,master,5,5
4155,denglert,RooStatSandbox,master,5,5
4156,dgorissen,pycel,master,5,5
4157,dhorke,Nijmegen,master,5,5
4158,DiODeProject,MuMoT,master,5,5
4159,DiscreteZOO,DiscreteZOO-presentations,master,5,5
4160,diyclassics,axelson,run,5,3
4161,diyclassics,mapping-experiments,master,5,1
4162,DIYer22,boxx,master,5,5
4163,djkormo,PythonForML,master,5,5
4164,djsegal,webio-binder,master,5,3
4165,dlab-geo,geopandas_intro,master,5,5
4166,DominikGlodzik,lowcovwgs,master,5,5
4167,dorodnic,binder_test,master,5,5
4168,dpploy,chen-3170,master,5,5
4169,drphilmarshall,StatisticalMethods,master,5,4
4170,ds-modules,R-Module,master,5,5
4171,dwinston,mpbinder,master,5,5
4172,eamonnmag,cern-csc-2017,master,5,5
4173,earthlab,earth-analytics-binder,master,5,5
4174,ECaMorlaix-2SI-1718,CR,master,5,5
4175,ecell,ecell4,master,5,5
4176,econ-ark,DemARK,stable,5,5
4177,eds-uga,cbio4835-sp17,master,5,2
4178,EloyRD,research-project-b,master,5,5
4179,enderwiggin205,cing_proj.git,master,5,5
4180,enderwiggin205,cingulate_proj,master,5,5
4181,epirecipes,epicookbook,master,5,5
4182,erdc-cm,oxford2017,master,5,5
4183,erikcs,TA,master,5,3
4184,Ethanleet,ECE199,master,5,5
4185,evcka,sq-limit,master,5,5
4186,evertrol,eucp-notebook.git,e2o_dstools,5,5
4187,ezeakeal,fp-codes,master,5,5
4188,ezequias,data.science,master,5,3
4189,f66blog,binder_test,master,5,5
4190,fbkarsdorp,childrens-literature-workshop,master,5,5
4191,feststelltaste,software-analytics,master,5,5
4192,fleclercq,stage-python,master,5,1
4193,fomightez,drag_legends-binder,master,5,5
4194,fontclos,IsingModel,master,5,5
4195,fpsom,godel,master,5,5
4196,friedrichknuth,ooi_axial_realtime_profiler.git,master,5,5
4197,friedrichknuth,ooi_data_evaluation_tools,master,5,3
4198,fruityfiddles,decimal-roman,master,5,5
4199,ftempo,GSSA,master,5,5
4200,FujiwaraTakumiEH,Python2,master,5,5
4201,fvanden,makeMaps.git,master,5,5
4202,aelvaroquaux,interpreting_ml_tuto,master,5,5
4203,bonomib,mlTeachings,dev,5,5
4204,bonomib,mlTeachings,dev,5,5
4205,bonomib,mlTeachings,master,5,4
4206,cpeixoto,lecture-ipynb,master,5,5
4207,csosso,CH2_P1_StatMech,master,5,3
4208,GenericMappingTools,try-gmt-python,master,5,5
4209,eoffbacon,three-day-computational-text-analysis,master,5,5
4210,evero,1DPyHC,master,5,5
4211,reco77,multi-order-coverage-of-probability-skymaps,master,5,5
4212,ilbertlei,TestMyBinder,master,5,5
4213,GilesStrong,QCHS-2018,master,5,5
4215,GoldBloods,demo-spacy-text-processing,master,5,5
4216,Gordon-Leo,demo-topic-model,master,5,5
4217,ordoncww,gen_con_notebook,master,5,5
4218,reenfieldsvp,mybinder,master,5,3
4219,reenkidneybean,biol262,master,5,5
4220,tarabat,differential_privacy,master,5,3
4221,a0ye,rEDM,master,5,5
4222,aystax-technology,long-range-extrapolation,master,5,3
4223,costa,Python-3-al-completo-desde-cero,master,5,5
4224,lokavarapu,Prospectus.git,master,5,5
4225,ottbox,hottbox-tutorials,master,5,5
4227,uchiayu,SMAUG_gal_scale,master,5,5
4228,Hugoos,TestAutoNotebook,master,5,5
4229,yunseok-choi,predicting_dementia_from_MRI,master,5,5
4230,ies-me,ME-Notebooks,master,5,5
4231,imagej,tutorials,master,5,2
4232,ImperialCollegeESE,Jupyter_Notebooks_w-Binder.git,master,5,5
4233,industrial-optimization-group,desdeo-vis,4695813,5,5
4234,IntroGM,2018,master,5,5
4235,invibe,ANEMO,master,5,5
4236,ioos,BioData-Training-Workshop,master,5,5
4237,ipb-halle,GoldenMutagenesis,prerelease-dev,5,5
4238,ipython,ipython-in-depth,master,5,5
4239,ipython,ipython,3.x,5,5
4240,ipython,ipython,master,5,5
4241,Ismelis,Jupyter,master,5,5
4242,ivotron,quiho-popper,master,5,5
4243,jadsonlucio,Mdplayerlol,master,5,5
4244,JakartaLaw,statistik2018,master,5,5
4245,jakevdp,WhirlwindTourOfPython,master,5,5
4246,Jammnie,mnist_test_nuralnetwork.git,master,5,5
4247,janfb,mcabc,master,5,5
4248,jankoslavic,numbafy,master,5,5
4249,jchen9314,DSCI521_lab2_Q6.git,master,5,5
4250,jdemeyer,pep575binder.git,master,5,5
4251,jeppedruedahl,numecon,master,5,5
4252,jfkoehler,calc_nbviewer,master,5,5
4253,jgomezdans,MULTIPLY_MCMC_explore,master,5,5
4254,jinshenggao,myPython,master,5,5
4255,jjweis,beersacrosswabashnb,master,5,5
4256,jmbsgit,master,master,5,5
4257,jmportilla,Complete-Python-Bootcamp,master,5,5
4258,jmportilla,Complete-Python-Bootcamp,master,5,5
4259,joe-from-mtl,ele8812_Cours_AnalyseMultiresolution,master,5,1
4260,joey0214,mybinder2018,master,5,5
4261,john15063,binder_trial,master,5,3
4262,jonititan,HMC-for-Flightgear,master,5,5
4263,jrjohansson,qutip-lectures,master,5,5
4264,jrjohansson,qutip-lectures,master,5,5
4265,jrzech,reproduce-chexnet,master,5,5
4266,jtpio,pixijs-jupyter,v1.0,5,5
4267,Juanlu001,icrat-talk,master,5,5
