,org,repo,ref,pageviews,unique_pageviews
341,m2dsupsdlclass,lectures-labs,master,141,112
342,QuantStack,xtensor,master,140,133
343,data-8,textbook,gh-pages,139,138
344,rantmlong,itds2018,master,139,139
345,rhiever,Data-Analysis-and-Machine-Learning-Projects,master,139,139
347,bwilk7,CMSC331,Spring2018,138,135
348,Coleridge-Initiative,ada-intro-sql,master,138,138
349,flatironinstitute,dc_network,master,138,125
350,ackingmaterials,matminer_examples,master,138,138
351,enactdev,CISC_106_F18,master,137,137
352,aforechi,ifes-cpp-2018-2,master,136,136
353,AllenDowney,ThinkComplexity2,master,136,133
354,binder-examples,dockerfile-rstudio,master,136,133
355,bwilk7,CMSC433,Spring2018,136,118
356,cgre-aachen,teaching,master,136,136
357,data-8,textbook,gh-pages,136,136
358,matheusmota,dataviz2018,master,136,136
359,meli-lewis,data-exploration-workshop,master,136,136
360,amueller,introduction_to_ml_with_python,master,135,132
361,bwilk7,CMSC331,Spring2018,135,135
362,cmsato,AnaliseAlgoritmos,master,135,135
363,data-8,textbook,gh-pages,135,132
364,data-8,textbook,gh-pages,135,129
365,uenp,pyquil-getting-started,master,135,135
366,ockyg,chem-ga-2600,master,135,135
367,mirnylab,cooler-binder,master,133,132
368,eo-python,notebooks,master,132,132
369,NSLS-II,tutorial,master,132,132
370,rlabbe,ThinkBayes,master,132,126
371,shapelets,khiva-use-cases,master,132,132
372,cms-opendata-education,cms-online-notebooks-for-binder,master,131,123
373,daniel-ufabc,bcc-ufabc,master,131,131
374,emehrkay,Pypher,master,131,130
375,eoscixyz,em_apps,master,131,120
376,QuantStack,xtensor,0.15.6,131,128
377,debimax,cours-debimax,master,130,108
378,flgomezc,planetario_bogota,master,130,130
379,ssanderson,foundations-of-numerical-computing,master,130,130
380,data-8,textbook,gh-pages,129,128
381,VukVukovic,jupyter_petnica,master,129,129
382,data-8,textbook,gh-pages,128,125
383,mrocklin,dask-examples,anacondacon-2018,127,127
384,nethone,keystroke-dynamics,master,127,124
385,bloomberg,bqplot,0.10.4-binder2,126,124
386,cmsato,AnaliseAlgoritmos,master,126,126
387,qbalabs,practical-python-for-gis-pros,master,125,121
388,QISKit,qiskit-tutorial,master,125,125
389,wshuyi,demo-spacy-text-processing,master,125,125
390,bwilk7,CMSC331,Spring2018,124,88
391,data-8,textbook,gh-pages,124,124
392,wkim1,ECON-21000-Viz,master,124,97
393,jupyterhub,binder-billing,master,124,121
394,binder-examples,jupyter-extension,master,123,120
395,cmsato,AnaliseAlgoritmos,master,123,123
396,CPJKU,madmom_tutorials,master,123,115
397,fbidu,nuvem-candidatos,master,123,123
398,eoscixyz,gpgLabs,master,123,122
399,poliastro,poliastro,master,123,116
400,callysto,callysto-sample-notebooks,master,122,122
401,codeparkhouston,ascii-art,master,122,122
402,data-8,textbook,gh-pages,122,119
403,funcloudio,ruby-notebook-binder,master,122,91
404,krzysztofarendt,deap,master,122,122
405,RainCloudPlots,RainCloudPlots,master,122,122
406,binder-examples,remote_storage,master,121,119
407,claresloggett,comp90014_workshops,master,121,121
408,compstat-lmu,lecture_intro_to_ml_notebooks,master,121,93
409,data-8,textbook,gh-pages,121,116
410,julianofoleiss,BCC35G.git,master,121,110
411,MIDS-INFO-W18,Drills,master,121,121
412,wrightaprilm,CompBio2018,master,121,121
413,olin-ignitecs,igniteChatbots,master,120,117
414,data-8,textbook,gh-pages,119,119
415,fomightez,mcscan-blast-binder,master,119,119
416,YeoLab,single-cell-bioinformatics,master,119,117
417,data-8,textbook,gh-pages,118,118
418,DavidTingley,papers,master,118,118
419,twosigma,beakerx,0.20.1,118,118
420,4QuantOSS,DashIntro,master,117,110
421,astropy,astropy-tutorials,master,117,117
422,jedrek1993,Akademia,master,117,117
423,MIDS-INFO-W18,Drills,master,117,117
424,sjoerddehaan,ml-course-2018,master,117,96
425,ecohydro,RidgeToReef,master,116,116
426,econ-ark,DemARK,stable,116,116
427,ljwolf,geopython,master,116,116
428,sordina,crashkell,master,116,116
429,casadi,live-python,master,115,115
430,davidsanwald,ai-notebook,master,115,111
431,QuantStack,xtensor,0.16.4,115,115
432,mrkeremyilmaz,UniDogru18Lab,master,114,114
433,naturesmathematiques,seconde,master,114,114
434,Calysto,conx,master,113,112
435,ainm,nglview-notebooks,master,113,95
436,mcmartins,francy,develop,113,103
437,neychev,boosting_and_DL,master,113,113
438,bwilk7,CMSC433,Spring2018,112,102
439,data-8,textbook,gh-pages,112,112
440,DataInstitute,algo,master,112,112
441,weymouth,marinehydro,master,112,112
442,fomightez,blast-binder,master,111,111
443,mth229,232-projects,master,111,111
444,clement-plancq,python-im,master,110,110
445,eoscixyz,gpgLabs,master,110,110
446,data-8,textbook,gh-pages,109,107
447,fomightez,mcscan-binder,master,109,109
448,marcinbielecki,Applied_Macroeconomics,master,109,101
449,ricklupton,floweaver,master,109,105
450,callysto,callysto-sample-notebooks,master,108,108
451,data-8,textbook,gh-pages,108,108
452,samoturk,mol2vec_notebooks,master,108,103
453,data-8,materials-su18_workshop,master,107,107
454,ISA-tools,dtp-isa-exercises,master,106,106
455,JiaweiZhuang,GEOSChem-python-tutorial,master,106,106
456,koldunovn,python_for_geosciences,master,106,93
457,OasisLMF,ZurichWorkshop2018,master,106,106
458,bwilk7,CMSC433,Spring2018,105,91
459,data-8,textbook,gh-pages,105,105
460,ericrosenbrown,ReceptiveFields,master,105,103
461,fabiocolombo,mlTeachings,master,105,105
462,nipy,niwidgets,master,105,105
463,particle-physics-playground,playground,master,105,97
464,YaleATLAS,IML2018tutorial,master,105,105
465,bwilk7,CMSC331,Spring2018,104,68
466,data-8,textbook,gh-pages,104,104
467,kamisakihideyoshi,Python-101,master,104,104
468,mapio,GraphvizAnim,master,104,103
469,panicinc,speed_mystery,master,104,85
470,data-8,textbook,gh-pages,103,102
471,enkelejdamiho,Computational-Analysis-of-Immune-Repertoires,master,103,103
472,ericmjl,bayesian-stats-modelling-tutorial,master,103,103
473,imrankhan17,intro-to-python,master,103,103
474,MNewcomer,CAData,master,103,103
475,sourceryinstitute,jupyter-CAF-kernel,master,103,99
476,dariomalchiodi,python-DS4EBF,master,102,79
477,jupyterlab,jupyterlab-latex,master,102,97
478,data-8,textbook,gh-pages,101,101
479,debimax,cours-debimax,master,101,101
480,K3D-tools,K3D-jupyter,master,101,95
481,PGE383-HPC,live_lectures,master,101,101
482,PGE383-HPC,live_lectures,master,101,82
483,zachetienne,nrpytutorial,master,101,101
484,data-8,textbook,gh-pages,100,100
485,data-8,textbook,gh-pages,100,100
486,ehalley,Gaia-DR2-distances,master,100,100
487,uidoAI,stereo_notebook,master,100,100
488,mpinkerton-oasis,OasisPiWind,master,100,100
489,rmorshea,purly,master,100,100
490,BruceSherwood,vpython-jupyter,7.1.2,99,95
491,QuantStack,xtensor,0.16.1,99,99
492,scikit-hep,uproot,master,99,99
493,CoolSciGuy,MEtalsGUI,master,98,98
494,data-8,textbook,gh-pages,98,96
495,MIDS-INFO-W18,Drills,master,98,98
496,nicolasmauhe,theorie_financiere,master,98,65
497,tomopy,tomopy,master,98,98
498,dshulchevskii,tcs-python,master,97,97
499,jakevdp,WhirlwindTourOfPython,master,97,91
500,mpbeu,intro,master,97,82
501,dask,dask-examples,master,96,96
502,data-8,textbook,gh-pages,96,95
503,lshao,r,master,96,96
504,MIDS-INFO-W18,Drills,master,96,96
505,bastula,dicom-notebooks,master,95,93
506,cboettig,noise-phenomena,master,95,95
507,eo-python,notebooks,master,95,95
508,invincibleinfra,python-bootcamp,master,95,95
509,jtpio,p5-jupyter-notebook,master,95,89
510,kholtz,eyh2018,master,95,75
511,AllenDowney,ThinkDSP,master,94,94
512,data-8,textbook,gh-pages,94,92
513,nicolasmauhe,theorie_financiere,master,94,74
514,data-8,textbook,gh-pages,93,91
515,fboylu,binder,master,93,92
516,eopandas,scipy2018-geospatial-data,master,93,93
517,sjoerddehaan,ml-course-2018,master,93,66
518,AeroPython,Curso_AeroPython,master,92,83
519,data-8,textbook,gh-pages,92,92
520,data-8,textbook,gh-pages,92,92
521,data-8,textbook,gh-pages,92,92
522,data-8,textbook,gh-pages,92,91
523,openPMD,openPMD-viewer,master,92,90
524,wshuyi,news-sentiment-lda-research-binder,master,92,92
525,bwilk7,CMSC433,Spring2018,91,91
526,data-8,textbook,gh-pages,91,91
527,parmentelat,RISE,doc2,91,70
530,adamlamee,CODINGinK12-binderFiles,master,90,80
531,cmsc6950,cmsc6950.github.io,master,90,90
532,data-8,textbook,gh-pages,90,88
533,ecohydro,RidgeToReef.git,master,90,90
534,eo-python,2018,master,90,90
535,kdubovikov,fastsampling,master,90,90
536,MIDS-INFO-W18,Drills,master,90,90
537,mvinoba,notebooks-for-binder,master,90,90
538,RCEatPitt,data-basics-summer-2018,master,90,90
539,bwilk7,CMSC433,Spring2018,89,67
540,ComputoCienciasUniandes,HerramientasComputacionales,master,89,89
541,fleclercq,stage-python,master,89,71
542,mrkeremyilmaz,UniDogru18Lab304,master,89,89
543,nilsleiffischer,python-course,deploy,89,89
544,nteract,examples,master,89,89
545,SBRG,ssbio,master,89,89
546,sequenceanalysis,sequenceanalysis.github.io,master,89,89
547,YannickJadoul,Parselmouth,master,89,89
549,econ-ark,DemARK,stable,88,88
550,lotapp,BaseCode,master,88,88
551,OasisLMF,ReinsuranceTestTool,master,88,88
552,data-8,materials-su18_workshop,master,87,87
553,mosdef-hub,mosdef_tutorials,master,87,87
554,aimacode,aima-python,master,86,85
555,chihau,desafio_iot2018,master,86,86
556,maswiet,Kuliah_Gelombang,master,86,86
557,ipython-books,cookbook-2nd-code,master,85,83
558,mondeja,milanuncios,master,85,85
559,nicolasmauhe,theorie_financiere,master,85,77
560,binder-examples,python2_runtime,master,84,81
561,bloomberg,bqplot,0.11.0,84,84
562,bwilk7,CMSC433,Spring2018,84,72
563,data-8,textbook,gh-pages,84,84
564,ammapy,gammapy-extra,master,84,83
565,kmader,quantitative-big-imaging-2018,master,84,70
566,libcrowds,notebooks,master,84,84
567,mondeja,pymarketcap,master,84,84
568,mrkeremyilmaz,UniDogru18Lab305,master,84,84
569,Normaliz,NormalizJupyter,master,84,83
570,qutip,qutip-notebooks,master,84,77
571,andersy005,deep-learning-specialization-coursera,master,83,83
572,AstroIllini,gems2018_lab_materials,master,83,83
573,betatim,openrefineder,master,83,56
574,bwilk7,CMSC433,Spring2018,83,68
575,bwilk7,CMSC433,Spring2018,83,82
576,GibbsConsulting,jupyter-plotly-dash,master,83,83
577,mikkokotila,jupyter4kids,master,83,83
578,brian-team,brian2-binder,master,82,82
579,data-8,textbook,gh-pages,82,82
580,mkempenaar,hanze_skc.git,master,82,82
581,psychemedia,ou-tm11n,master,82,72
582,amandadumi,numerical_methods_release,master,81,80
583,kmader,chess-alpha-zero,master,81,61
584,mgreminger,ME5335_notebooks,master,81,81
585,MIDS-INFO-W18,Drills,master,81,81
586,mmngreco,quantdare_posts,master,81,77
587,ruipontecosta,courses,master,81,68
588,sophiedeb,nonlineardynamics,master,81,61
589,ChangingEnergy,ML_Demo,master,80,80
590,data-8,textbook,gh-pages,80,80
591,josephofiowa,pandas-intro-iowa-liq,master,80,80
592,MIDS-INFO-W18,Drills,master,80,80
593,YaleATLAS,CERNDeepLearningTutorial,master,80,78
594,arijitlaik,UWGeoDocker.git,master,79,79
595,cerisola,fisica2-uba,master,79,79
596,nokome,jupyter-dar,add-stencila-host,79,79
597,yandexdataschool,Practical_DL,master,79,68
598,ccnycs,csc212,master,78,78
599,rovduck,cof-python-workshop,master,78,64
600,mccullaghlab,CHEM571A-FALL2018,master,78,78
602,BielStela,Curs_UB,master,77,77
603,bwilk7,CMSC331,Spring2018,77,77
604,coltonlloyd,qbio,master,77,77
605,congeal,python_seminar.git,master,77,77
606,martindurant,intake-release-blog,master,77,77
607,pnavaro,math-python,master,77,77
608,amatma,jupyter-xm-magic,master,76,75
609,dib-lab,sourmash,master,76,73
610,ricklupton,ipysankeywidget,master,76,68
611,sjoerddehaan,ml-course-2018,master,76,63
612,wshuyi,demo-spacy-text-processing,master,76,76
613,DavidMStraub,flavio-tutorial,master,75,68
614,inopens,modsim_demos,master,75,69
615,kiudee,cs-ranking,master,75,75
616,lindadlf,oneemituniversity,master,75,75
617,pdebuyl,2018_nonequilibrium_simulations,master,75,75
618,TRIQS,docker,master,75,75
619,aforechi,ifes-num-2018-2,master,74,74
620,agile-geoscience,notebooks,master,74,65
621,casadi,live-octave,master,74,74
622,cavea,AM10IM,master,74,74
