,Pageviews,Unique Pageviews,user,repo,ref
301,5,5,Normaliz,NormalizJupyter,master
302,5,5,opengridcc,opengrid-demo,master
303,5,2,pchalasani,mlnotes,master
304,5,5,PierreMarion23,ipypivot-binder,master
305,5,2,PierreMarion23,test-bqplot,master
306,5,5,QuantStack,xtensor-io,master
307,5,4,reproducible-notebooks,ERDDAP_glider_search,master
308,5,4,saraedum,sage-binder-env,t-23505-lattice-precision
309,5,5,sourceryinstitute,jupyter-CAF-kernel,master
310,5,5,terna,pandas-datareader,master
311,5,3,tlbbd-spring2018,lab_01,master
312,5,2,tpaviot,pythonocc-binderhub,oce019
313,5,4,ubcgif,gpgLabs,master
314,5,4,YeoLab,single-cell-bioinformatics,master
315,4,3,4QuantOSS,DashIntro,master
316,4,4,abprice,CGM_Jupyter_Breakout_Session_170512,master
317,4,3,AdvancedMachineLearning,60hoursProject,master
318,4,2,amueller,introduction_to_ml_with_python,master
319,4,3,bastula,dicom-notebooks,master
320,4,3,bccp,nbodykit-cookbook,master
321,4,3,binder-examples,data-quilt,master
322,4,3,bloomberg,bqplot,0.10.4-binder2
323,4,3,boisgera,audio-notebooks,master
324,4,3,brian-rose,ClimateModeling_courseware,master
325,4,3,contextlab,hypertools-paper-notebooks,master
326,4,4,cosmicfish,cosmicfish,master
327,4,2,craigschrodinger,QA-Docs,master
328,4,4,DanWebster,crispr_screen_sgRNAs,master
329,4,4,data-8,textbook,gh-pages
330,4,4,data-8,textbook,gh-pages
331,4,3,davidrpugh,evolution-of-social-behavior,master
332,4,2,deepfakes,faceswap,master
333,4,3,Emaasit,data-science-culture,master
334,4,3,epfl-lts2,pygsp,master
335,4,4,eXtremeGravityInstitute,LISA_Sensitivity,master
336,4,1,fastai,courses,master
337,4,3,feststelltaste,software-data,master
338,4,3,geoscixyz,em_apps,master
339,4,3,harmslab,epistasis-notebooks,master
340,4,3,jakevdp,PythonDataScienceHandbook,master
341,4,4,jupyterhub,binder-billing,master
342,4,3,LOHMgit,emdc_demo.git,master
343,4,4,mirnylab,cooler-binder,master
344,4,2,nickduran,align-linguistic-alignment,master
345,4,3,nicolasmauhe,theorie_financiere,master
346,4,3,ocoudray,jupyter-d3-slider-binder,master
347,4,3,oroszl,szamprob,master
348,4,1,osv-team,pyosv-binderhub,master
349,4,4,particle-physics-playground,playground,master
350,4,2,PierreMarion23,test-bqplot,master
351,4,3,pnavaro,python-notebooks,github
352,4,3,qinfer,qinfer-examples,master
353,4,3,qmisr,mis492,master
354,4,4,rajathkmp,Python-Lectures,master
355,4,3,RobinL,fuzzymatcher,master
356,4,4,SCPSscience,Notebooks,master
357,4,3,sean-parent,notebook,master
358,4,3,tlbbd-spring2018,lab_04,master
359,4,3,tlbbd-spring2018,lab_06,master
360,4,3,tlbbd-spring2018,lab_07,master
361,4,3,tpaviot,pythonocc-binderhub,master
362,4,3,tpoisot,ScientificComputingForTheRestOfUs,master
363,3,3,4QuantOSS,scijava-jupyter-kernel,master
364,3,2,adamlamee,CODINGinK12-binderFiles,master
365,3,1,adl,binder-test,master
366,3,3,agile-geoscience,xlines,master
367,3,2,amnona,calour,mybinder
368,3,1,aymericdamien,TensorFlow-Examples,master
369,3,3,binder-examples,jupyter-extension,master
370,3,3,binder-examples,python-conda_pip,master
371,3,3,binder-examples,remote_storage,master
372,3,2,brian-team,brian2-binder,master
373,3,3,bwilk7,CMSC433,Spring2018
374,3,2,cantera,cantera-jupyter,master
375,3,2,carlvitzthum,programming-club-2018,master
376,3,2,CartoDB,cartoframes,master
377,3,2,cdohl,ph3501,master
378,3,3,computationalmodelling,fidimag,master
379,3,2,computersciencenotebooks,btec_unit_1,master
380,3,3,CPJKU,madmom_tutorials,master
381,3,2,cranmer,ligo-binder,master
382,3,2,dariomalchiodi,deeplearning-helloworld,master
383,3,2,dariomalchiodi,jupyterlab-binder,master
384,3,1,data-8,textbook,gh-pages
385,3,2,davidcortesortuno,fidimag,master
386,3,2,djson8,ox-p4ds,master
387,3,3,djson8,ox-p4ds,master
388,3,3,dlab-berkeley,MachineLearningWG,master
389,3,3,gammapy,gammapy-extra,master
390,3,3,GenericMappingTools,try-gmt-python,master
391,3,2,geoscixyz,em_apps,master
392,3,3,glouppe,tutorial-scikit-learn,master
393,3,3,hyperspy,hyperspy-demos,master
394,3,3,iskreng,NIR-sky-plot,master
395,3,2,K3D-tools,K3D-jupyter,master
396,3,3,LeMasters,Jupyter_Tutyr,master
397,3,3,letsop,test_note,master
398,3,2,letsop,test_note,master
399,3,2,LOHMgit,emdc_demo.git,master
400,3,3,m2dsupsdlclass,lectures-labs,master
401,3,2,mapio,GraphvizAnim,master
402,3,2,materialsinnovation,mks-tutorial,master
403,3,1,mcasl,misc,master
404,3,3,mcmartins,francy,develop
405,3,3,mkarakoc,Titresim_ve_Dalgalar,master
406,3,2,mkoculak,Warsztat-programowania,master
407,3,2,Naereen,notebooks,master
408,3,3,NathanMeulen,Fourier_Transform_exploration,master
409,3,2,neuropoly,axondeepseg,master
410,3,2,nhejazi,sl3_lecture,master
411,3,2,norvig,pytudes,master
412,3,1,oforechi,ifes-cpp,master
413,3,3,olivertlord,Xtools,master
414,3,3,OpenAstronomy,Workshop-Lessons,master
415,3,1,oxpeter,library_bioinformatics_service,master
416,3,2,parente,wildwolfwatch,master
417,3,3,plotly,jupyterlab-chart-editor,master
418,3,3,poliastro,poliastro,0.8.x
419,3,1,QuantStack,xeus-cling,0.2.0
420,3,2,raynamharris,flotilla,master
421,3,3,reproducible-notebooks,ERDDAP_timeseries_explorer,appmode
422,3,1,ricklupton,ipysankeywidget,master
423,3,2,SaitoTsutomu,OptForPuzzle,master
424,3,2,sallamander,neural-networks-intro,master
